organism,experimental_design,de_gene,log_fc,log_cpm,f,p_value,fdr,id,real_differential_expression
1276135,infect48hXinfect144h,MAN_09389,10.3969528845208,9.61011235806355,479.807593270866,1.33729018357842E-96,1.5154469535907E-93,,1
1276135,infect48hXinfect144h,MAN_09394,10.3321457398201,9.0601439287849,440.732157787623,3.63859133347861E-97,4.63874912626854E-94,,1
1276135,infect48hXinfect144h,MAN_09531,9.87543954703356,8.46649039505783,363.446961404769,4.17900705628645E-62,1.29156645354744E-59,,1
1276135,infect48hXinfect144h,MAN_01628,9.6635508237101,8.86861485399625,379.296869686921,1.90232094205011E-57,4.21777636694981E-55,,1
1276135,infect48hXinfect144h,MAN_09392,9.62233889596819,8.71380142595463,365.568230087404,8.38888539938175E-56,1.71116484376589E-53,,1
1276135,infect48hXinfect144h,MAN_08869,9.257141438097,7.14483280103312,217.462856174647,2.65055953517563E-47,3.80747277454313E-45,,1
1276135,infect48hXinfect144h,MAN_09398,9.16413191477161,7.50062729751642,242.614378266722,6.50149333646352E-43,8.50111929981941E-41,,1
1276135,infect48hXinfect144h,MAN_10379,9.0307281009228,8.32503665041629,299.153330408251,2.4065300384041E-39,2.58359998544036E-37,,1
1276135,infect48hXinfect144h,MAN_06508,8.73445223167868,8.55941815105952,389.426088318341,3.79471313855099E-86,2.27660466471068E-83,,1
1276135,infect48hXinfect144h,MAN_02411,8.57877267176686,6.18019963406173,122.029288076155,2.57310920745181E-28,1.60019151260982E-26,,1
1276135,infect48hXinfect144h,MAN_03805,8.37956831728978,6.06297843182151,109.591799188157,4.77723898054633E-25,2.4361530181296E-23,,1
1276135,infect48hXinfect144h,MAN_01672,8.34974572808586,6.55765535284658,139.438256055383,9.00934604664911E-25,4.54882773909773E-23,,1
1276135,infect48hXinfect144h,MAN_08939,8.26183458050837,7.91875625910505,305.125382742478,5.38885383664569E-68,2.03558963999812E-65,,1
1276135,infect48hXinfect144h,MAN_09381,8.24202052540724,7.42800099294656,193.232268942676,2.72751064032907E-22,1.19904659572052E-20,,1
