organism_1	organism_2	orthogroup	orthologs_organism_1	orthologs_organism_2
655844	5530	OG0000000	XP_007826729.1, XP_011411826.1	KID59404.1
655844	5530	OG0000000	XP_011410912.1	KID59358.1, KID59214.1, KID59342.1, KID60248.1, KID59629.1, KID60927.1, KID59357.1, KID60237.1, KID60194.1, KID60928.1, KID59401.1, KID59265.1, KID59213.1, KID59415.1, KID59630.1, KID60249.1, KID60195.1, KID59400.1, KID59341.1, KID59343.1, KID59273.1, KID59363.1
655844	5530	OG0000001	XP_007826616.1	KID59655.1, KID61495.1
655844	5530	OG0000001	XP_011411267.1	KID63954.1, KID62627.1
655844	5530	OG0000001	XP_007825776.2	KID66243.1
655844	5530	OG0000001	XP_007823074.1, XP_007825594.2	KID60022.1
655844	5530	OG0000001	XP_007816308.1, XP_007826539.1, XP_007817109.2, XP_007819387.1, XP_007817072.1, XP_007824259.1, XP_011411285.1	KID70241.1
655844	5530	OG0000002	XP_007826537.2, XP_007816691.2, XP_011411667.1, XP_011411286.1, XP_007826535.2, XP_011411315.1, XP_007825309.2, XP_011410974.1, XP_011411460.1, XP_007816553.2, XP_007817079.2, XP_007826529.2, XP_007816591.2, XP_007816587.2, XP_007826148.1, XP_007817799.1, XP_011411820.1	KID59628.1, KID67005.1
655844	5530	OG0000003	XP_007824638.1	KID65883.1
655844	5530	OG0000003	XP_007823289.1	KID68038.1
655844	5530	OG0000003	XP_007817547.1	KID64537.1
655844	5530	OG0000003	XP_007817604.1	KID64385.1
655844	5530	OG0000003	XP_007816512.1	KID62735.1
655844	5530	OG0000003	XP_007825751.1	KID66261.1
655844	5530	OG0000003	XP_007822284.1	KID68213.1
655844	5530	OG0000003	XP_007816379.1	KID62872.1
655844	5530	OG0000005	XP_007821062.1	KID60922.1
655844	5530	OG0000005	XP_011410852.1	KID65087.1
655844	5530	OG0000005	XP_007817548.1	KID64536.1
655844	5530	OG0000005	XP_007824851.1	KID59478.1
655844	5530	OG0000005	XP_007824744.1	KID69103.1
655844	5530	OG0000005	XP_007824688.1	KID59259.1
655844	5530	OG0000005	XP_007825629.2	KID59985.1
655844	5530	OG0000006	XP_011411726.1	KID59353.1
655844	5530	OG0000006	XP_007817091.1	KID59563.1, KID59406.1, KID60211.1, KID60265.1, KID59207.1, KID60222.1, KID60275.1, KID60210.1, KID60264.1, KID59399.1, KID59375.1
655844	5530	OG0000007	XP_007817535.1	KID64555.1
655844	5530	OG0000007	XP_007824472.2	KID61181.1
655844	5530	OG0000007	XP_011411111.1	KID64087.1
655844	5530	OG0000007	XP_007824707.1	KID69137.1
655844	5530	OG0000007	XP_007824541.2	KID61106.1
655844	5530	OG0000007	XP_007826303.2	KID64410.1, KID64408.1
655844	5530	OG0000008	XP_007816619.2	KID70238.1
655844	5530	OG0000008	XP_007826540.1	KID60231.1
655844	5530	OG0000008	XP_007826696.2, XP_007817838.1	KID64046.1
655844	5530	OG0000008	XP_007816348.1	KID62905.1
655844	5530	OG0000008	XP_007816291.1	KID59423.1, KID64060.1
655844	5530	OG0000009	XP_007825989.2	KID65973.1
655844	5530	OG0000009	XP_007817491.1	KID64599.1
655844	5530	OG0000009	XP_007823555.1	KID70046.1
655844	5530	OG0000009	XP_007822188.2	KID68318.1
655844	5530	OG0000009	XP_007817226.1	KID66020.1
655844	5530	OG0000009	XP_007820046.1	KID70018.1
655844	5530	OG0000010	XP_007816601.1	KID64518.1
655844	5530	OG0000010	XP_011410971.1	KID59622.1
655844	5530	OG0000010	XP_007825316.1	KID59560.1
655844	5530	OG0000010	XP_011410963.1	KID59600.1
655844	5530	OG0000011	XP_007818072.2	KID67260.1
655844	5530	OG0000011	XP_007826527.2	KID65715.1
655844	5530	OG0000011	XP_011411468.1	KID66282.1
655844	5530	OG0000011	XP_007818566.1	KID67712.1
655844	5530	OG0000011	XP_007826182.1	KID60524.1
655844	5530	OG0000012	XP_007818286.1	KID67482.1
655844	5530	OG0000012	XP_007816201.1	KID66383.1
655844	5530	OG0000012	XP_007823043.1	KID63920.1
655844	5530	OG0000012	XP_007825519.2	KID69353.1
655844	5530	OG0000012	XP_007825389.1	KID65744.1
655844	5530	OG0000013	XP_007817947.1	KID67130.1
655844	5530	OG0000013	XP_007818706.1	KID71947.1
655844	5530	OG0000013	XP_007822255.1	KID68247.1
655844	5530	OG0000013	XP_007818959.1	KID71720.1
655844	5530	OG0000013	XP_007823073.1	KID63952.1
655844	5530	OG0000014	XP_007825873.1	KID68175.1
655844	5530	OG0000014	XP_007823103.2	KID63986.1
655844	5530	OG0000014	XP_007826372.1	KID64088.1
655844	5530	OG0000014	XP_007823144.1	KID64027.1
655844	5530	OG0000014	XP_007825110.1	KID64952.1
655844	5530	OG0000015	XP_011411125.1	KID59566.1
655844	5530	OG0000015	XP_007816584.1	KID59391.1
655844	5530	OG0000015	XP_007817085.2	KID59567.1
655844	5530	OG0000016	XP_007821542.1	KID62014.1
655844	5530	OG0000016	XP_011410768.1	KID61103.1
655844	5530	OG0000016	XP_007826595.1	KID65597.1
655844	5530	OG0000016	XP_007824544.2, XP_007819293.1	KID71373.1
655844	5530	OG0000017	XP_007826140.2	KID69086.1
655844	5530	OG0000017	XP_007825963.2	KID65948.1
655844	5530	OG0000017	XP_007826598.2	KID61619.1
655844	5530	OG0000017	XP_007822765.2, XP_007817827.1	KID63542.1
